"Add Service","Add Service"
"Most Bookmarked Products","Most Bookmarked Products"
"Save","Save"
"Delete","Delete"
"Edit Service '%s'","Edit Service '%s'"
"Edit Service","Edit Service"
"Add Service","Add Service"
"General","General"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Name","Name"
"Icon","Icon"
"Service URL","Service URL"
"<b>{url}</b> - Page URL, <b>{title}</b> - Page title","<b>{url}</b> - Page URL, <b>{title}</b> - Page title"
"Use short URL","Use short URL"
"No","No"
"Yes","Yes"
"Sort Order","Sort Order"
"Open in new window","Open in new window"
"<b class='required'>WARNING!!!</b> - Bit.ly is not configured and this option doesn't work!","<b class='required'>WARNING!!!</b> - Bit.ly is not configured and this option doesn't work!"
"Bookmarked","Bookmarked"
"ID","ID"
"Clicks","Clicks"
"Action","Action"
"Are you sure?","Are you sure?"
"CSV","CSV"
"XML","XML"
"Change status","Change status"
"None","None"
"Inside product page","Inside product page"
"Sidebar left top","Sidebar left top"
"Sidebar left bottom","Sidebar left bottom"
"Sidebar right top","Sidebar right top"
"Sidebar right bottom","Sidebar right bottom"
"Content top","Content top"
"Content bottom","Content bottom"
"Manage Services","Manage Services"
"Reset statistics","Reset statistics"
"Are you sure you want to reset clicks statistics?","Are you sure you want to reset clicks statistics?"
"Item does not exist","Item does not exist"
"Service was successfully saved","Service was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Service Information","Service Information"
"Service Script","Service Script"
"Type service code here","Type service code here"
