"Order Notification","Notificación del pedido"
"Customer Notification","Notificación del cliente"
"Review Notification","Notificación de revisión"
"Tag Notification","Notificación de etiquetas"
"Admin Email Notifications","Administrador de notificaciones de correo electrónico"
"Email Sender","Remitente del correo electrónico"
"Send To","Enviar a"
"New Order","Nuevo pedido"
"Email Template","Plantilla de correo electrónico"
"New Registration","Nuevo registro"
"New Review","Nueva revisión"
"New Tag","Nueva etiqueta"
